model,benchmark,problem_idx,n_judged_traces_this_problem,mean_reasoning_score_0_1,source_judge_json
DS-R1-1.5B,MATH500,48,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,258,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,298,3,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,222,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,228,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,78,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,207,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,266,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,102,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,410,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,496,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,311,2,0.90625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,476,2,0.96875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,439,2,0.53125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,233,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,278,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,178,2,0.90625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,247,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,339,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,375,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,290,3,0.9375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,37,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,104,2,0.40625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,135,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,483,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,86,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,325,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,432,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,99,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,33,2,0.40625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,293,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,106,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,360,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,150,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,218,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,473,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,282,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,263,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,398,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,385,2,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,289,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,424,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,216,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,201,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,206,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,443,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,280,2,0.9375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,192,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,265,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,348,2,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,195,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,3,2,0.78125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,7,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,220,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,169,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,69,3,0.625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,245,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,152,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,433,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,445,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,429,3,0.8333333333333334,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,95,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,468,2,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,196,2,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,45,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,423,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,101,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,359,2,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,421,2,0.40625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,422,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,15,2,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,126,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,140,3,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,317,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,254,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,454,3,0.4166666666666667,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,143,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,114,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,337,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,111,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,123,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,481,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,77,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,176,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,352,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,356,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,131,1,0.9375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,146,2,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,21,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,413,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,171,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,28,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,327,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,61,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,64,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,108,2,0.34375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,394,2,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,318,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,361,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,272,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,345,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,322,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,315,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,132,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,63,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,373,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,73,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,244,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,13,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,444,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,269,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,182,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,412,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,38,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,191,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,380,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,419,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,328,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,223,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,66,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,332,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,219,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,494,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,161,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,294,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,438,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,179,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,343,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,249,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,461,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,71,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,181,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,5,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,363,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,113,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,68,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,160,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,270,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,188,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,156,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,364,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,436,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,145,2,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,395,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,431,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,492,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,26,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,368,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,257,1,0.625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,16,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,303,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,205,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,405,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,59,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,MATH500,485,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,SVAMP,798,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,282,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,962,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,185,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,584,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,758,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,926,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,679,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,412,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,968,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,751,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,554,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,627,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,392,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,416,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,273,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,103,2,0.65625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,303,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,952,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,488,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,409,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,87,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,939,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,219,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,577,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,951,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,205,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,410,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,137,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,976,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,18,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,770,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,166,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,668,3,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,391,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,833,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,828,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,279,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,660,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,841,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,264,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,272,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,178,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,964,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,198,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,560,1,0.9375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,786,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-1.5B,SVAMP,281,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
