model,dataset,n_total_traces,n_distinct_questions,n_sampled_questions,n_judged_traces,mean_reasoning_score,std_reasoning_score,stderr_reasoning_score,cache_hits,new_judge_calls,seed,jsonl_path,sampled_questions_path,sampled_traces_path,checkpoint_path
Phi-4-Reas.,MATH500,8000,500,100,100,0.811875,0.21732399560484933,0.021732399560484932,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___MATH500_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___MATH500_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4-Reas___MATH500.json
Phi-4-Reas.,SVAMP,16000,1000,100,100,0.880625,0.20297950305786094,0.020297950305786093,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___SVAMP_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___SVAMP_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4-Reas___SVAMP.json
Qwen2.5-7B,AQuA,4064,254,100,100,0.69625,0.25531286511045437,0.025531286511045435,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen2.5_7B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__AQuA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__AQuA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-7B__AQuA.json
Qwen2.5-7B,CommonsenseQA,19536,1221,100,100,0.88,0.16706392050755167,0.016706392050755168,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__CommonsenseQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__CommonsenseQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-7B__CommonsenseQA.json
Qwen2.5-7B,GPQA,7168,448,100,100,0.5725,0.1661260170333158,0.01661260170333158,50,50,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__GPQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__GPQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-7B__GPQA.json
Qwen2.5-7B,GSM8K,21104,1319,100,100,0.785625,0.24413172647924597,0.024413172647924596,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__GSM8K_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__GSM8K_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-7B__GSM8K.json
Qwen2.5-7B,MATH500,8000,500,100,100,0.68125,0.25007890169046065,0.025007890169046067,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__MATH500_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__MATH500_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-7B__MATH500.json
Qwen2.5-7B,SVAMP,16000,1000,100,100,0.77875,0.25382490684196723,0.025382490684196724,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__SVAMP_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-7B__SVAMP_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-7B__SVAMP.json
Qwen2.5-Math,AQuA,4064,254,100,100,0.776875,0.2545753978825737,0.02545753978825737,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__AQuA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__AQuA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-Math__AQuA.json
Qwen2.5-Math,CommonsenseQA,19536,1221,100,100,0.655,0.2535231545618465,0.02535231545618465,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__CommonsenseQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__CommonsenseQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-Math__CommonsenseQA.json
Qwen2.5-Math,GPQA,7168,448,100,100,0.47875,0.16860145912833024,0.016860145912833024,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__GPQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__GPQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-Math__GPQA.json
Qwen2.5-Math,GSM8K,21104,1319,100,100,0.901875,0.19689328718979743,0.019689328718979743,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_Math_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__GSM8K_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__GSM8K_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-Math__GSM8K.json
Qwen2.5-Math,MATH500,8000,500,100,100,0.795,0.25778289354032047,0.025778289354032046,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__MATH500_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__MATH500_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-Math__MATH500.json
Qwen2.5-Math,SVAMP,16000,1000,100,100,0.856875,0.23524900170464122,0.023524900170464123,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__SVAMP_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen2_5-Math__SVAMP_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen2_5-Math__SVAMP.json
Qwen3-4B,AQuA,4064,254,100,100,0.69125,0.2297375808626139,0.02297375808626139,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__AQuA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__AQuA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen3-4B__AQuA.json
Qwen3-4B,CommonsenseQA,19536,1221,100,100,0.74375,0.1977421479369208,0.01977421479369208,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__CommonsenseQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__CommonsenseQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen3-4B__CommonsenseQA.json
Qwen3-4B,GPQA,7168,448,100,100,0.521875,0.1539604989186276,0.01539604989186276,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen3_4B_Thinking_2507/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__GPQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__GPQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen3-4B__GPQA.json
Qwen3-4B,GSM8K,21104,1319,100,100,0.81375,0.22455413173844763,0.022455413173844762,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__GSM8K_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__GSM8K_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen3-4B__GSM8K.json
Qwen3-4B,MATH500,8000,500,100,100,0.704375,0.24113954398173099,0.0241139543981731,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen3_4B_Thinking_2507/math500__test_math500_-1_seed42_t0.7_s0_e-1_98bb5118-8bf5-465f-aa8e-cfc6664c32d1_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_98bb5118-8bf5-465f-aa8e-cfc6664c32d1_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__MATH500_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__MATH500_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen3-4B__MATH500.json
Qwen3-4B,SVAMP,16000,1000,100,100,0.84,0.19650513397050898,0.019650513397050897,0,100,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen3_4B_Thinking_2507/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_dfc02f7d-afce-4f33-9a2e-e6939267b7bc_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_dfc02f7d-afce-4f33-9a2e-e6939267b7bc_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__SVAMP_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Qwen3-4B__SVAMP_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Qwen3-4B__SVAMP.json
