model,benchmark,dataset,n_sampled,n_judged_ok,n_judge_fail,cache_hits,new_judge_calls,mean_reasoning_score_0_1,mean_reasoning_score_pct,std_reasoning_score_0_1,jsonl_path,checkpoint_path
Qwen2.5-Math,GPQA,GPQA,50,50,0,0,50,0.53375,53.37499999999999,0.17322809223326197,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-Math__GPQA.json
Qwen2.5-Math,GSM8K,GSM8K,50,50,0,0,50,0.88125,88.125,0.21024842570208244,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_Math_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-Math__GSM8K.json
Qwen2.5-Math,MATH500,MATH500,50,50,0,0,50,0.785,78.5,0.2503696247143248,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-Math__MATH500.json
Qwen2.5-Math,SVAMP,SVAMP,50,50,0,0,50,0.8825,88.25,0.2152656166559948,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-Math__SVAMP.json
Qwen3-4B,AQuA,AQuA,50,50,0,0,50,0.65375,65.375,0.24262396894396573,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen3-4B__AQuA.json
Qwen3-4B,CSQA,CommonsenseQA,50,50,0,0,50,0.71875,71.875,0.1817792238526994,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen3-4B__CommonsenseQA.json
Qwen3-4B,GPQA,GPQA,50,50,0,0,50,0.5,50.0,0.1318287773235125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen3_4B_Thinking_2507/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen3-4B__GPQA.json
Qwen3-4B,GSM8K,GSM8K,50,50,0,0,50,0.825,82.5,0.22517000380211594,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen3-4B__GSM8K.json
Qwen3-4B,MATH500,MATH500,50,50,0,0,50,0.705,70.5,0.21615258216248587,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen3_4B_Thinking_2507/math500__test_math500_-1_seed42_t0.7_s0_e-1_98bb5118-8bf5-465f-aa8e-cfc6664c32d1_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_98bb5118-8bf5-465f-aa8e-cfc6664c32d1_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen3-4B__MATH500.json
Qwen3-4B,SVAMP,SVAMP,50,50,0,0,50,0.775,77.5,0.264261581909799,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen3_4B_Thinking_2507/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_dfc02f7d-afce-4f33-9a2e-e6939267b7bc_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_dfc02f7d-afce-4f33-9a2e-e6939267b7bc_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen3-4B__SVAMP.json
