variant,held_out_benchmark,n_models,models_used,agg_method,train_metric,test_target,corr_kind,r,p_value
leave_family_out_non_DS-R1_only,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.8571,0.0137
leave_family_out_non_DS-R1_only,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.2143,0.6445
leave_family_out_non_DS-R1_only,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.1429,0.7599
leave_family_out_non_DS-R1_only,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.6071,0.1482
leave_family_out_non_DS-R1_only,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.3929,0.3833
leave_family_out_non_DS-R1_only,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.5,0.2532
leave_family_out_non_DS-R1_only,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.3214,0.4821
leave_family_out_non_DS-R1_only,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.1786,0.7017
leave_family_out_non_DS-R1_only,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.3214,0.4821
leave_family_out_non_DS-R1_only,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.3214,0.4821
leave_family_out_non_DS-R1_only,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.2143,0.6445
leave_family_out_non_DS-R1_only,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.7143,0.0713
holdout_DS-R1_cluster_evaluate_7_models,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.6126,0.1436
holdout_DS-R1_cluster_evaluate_7_models,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.2143,0.6445
holdout_DS-R1_cluster_evaluate_7_models,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.5586,0.1925
holdout_DS-R1_cluster_evaluate_7_models,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.6071,0.1482
holdout_DS-R1_cluster_evaluate_7_models,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.3571,0.4316
holdout_DS-R1_cluster_evaluate_7_models,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.0714,0.879
holdout_DS-R1_cluster_evaluate_7_models,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.25,0.5887
holdout_DS-R1_cluster_evaluate_7_models,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.1429,0.7599
holdout_DS-R1_cluster_evaluate_7_models,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.4286,0.3374
holdout_DS-R1_cluster_evaluate_7_models,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.2857,0.5345
holdout_DS-R1_cluster_evaluate_7_models,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.6071,0.1482
holdout_DS-R1_cluster_evaluate_7_models,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.5,0.2532
holdout_DS-R1_cluster_evaluate_7_models,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.8571,0.0137
holdout_DS-R1_cluster_evaluate_7_models,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.2143,0.6445
holdout_DS-R1_cluster_evaluate_7_models,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.1429,0.7599
holdout_DS-R1_cluster_evaluate_7_models,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.6071,0.1482
holdout_DS-R1_cluster_evaluate_7_models,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.3929,0.3833
holdout_DS-R1_cluster_evaluate_7_models,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.5,0.2532
holdout_DS-R1_cluster_evaluate_7_models,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.3214,0.4821
holdout_DS-R1_cluster_evaluate_7_models,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.1786,0.7017
holdout_DS-R1_cluster_evaluate_7_models,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.3214,0.4821
holdout_DS-R1_cluster_evaluate_7_models,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.3214,0.4821
holdout_DS-R1_cluster_evaluate_7_models,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.2143,0.6445
holdout_DS-R1_cluster_evaluate_7_models,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.7143,0.0713
